RegionID,SizeRank,RegionName,RegionType,StateName,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23
102001,0,United States,country,,179808.5,180500,183700,185700,182450,175450,170250,165600,160850,157319.5,153319.5,152500,152750,155750,162000,165000,164750,162250,158591,157841,159250,158500,155000,156500,158900,159850,163950,166000,164265.5,161265.5,157500,155000,155000,152000,147000,146500,149000,152000,157000,159080.5,156580.5,152500,148750,148200,148450,145250,142250,146000,152500,158098,164598,167000,165500,162500,159500,159500,162000,159250,154750,159450,166900,173450,181000,185000,182500,177500,174000,171500,172000,169500,165250,168750,174500,180925,187425,190000,189000,185000,180950,179950,180550,190500,188950,181500,188250,195700,202527.5,203577.5,200111,195861,191750,189950,191450,190250,186164.5,188664.5,196250,203000,210500,213750,211250,207500,204250,204125,203875,201500,199000,201500,209000,216000,222859.5,225859.5,223250,219750,216500,216500,218000,216500,217000,222000,226950,230700,236250,237500,232500,227500,225000,225000,224950,223450,222000,226000,233500,241000,247500,249750,247250,242500,240000,240000,242000,241000,239000,245000,251000,250950,254950,265000,271999.5,274500,275000,276500,276500,272500,272500,280750,293250,302500,310000,315000,313500,311000,310484,312984,313750,309750,311000,322500,337500,347500,350000,344000,334000,327500,322500,315000,307500,303000,308000,320000,330000,340000,347500,350000,348450,342450
394913,1,New York,msa,NY,392500,395000,397500,405000,412000,402000,384500,373000,363500,357500,352500,347500,341300,341300,347500,355000,362500,362500,353000,350500,350000,350000,352500,346250,343750,349000,356500,368235,378235.5,,289500,357000,353500,351000,350000,345000,344500,349500,354500,367000,370000,362500,349500,332000,328125,330625,327500,325000,328289,340789,353250,358750,359000,353500,345000,340000,338500,336944,328444,322500,327500,338000,356232.5,370732.5,377500,370250,355250,346237.5,346237.5,350000,345000,339500,339500,345000,359000,371500,380000,372500,355000,350000,350000,355000,352500,342500,342500,352500,370000,379000,379000,375500,365500,357500,357500,355175,347675,345750,348080,354830,370000,382500,384500,377000,365000,359500,354500,354500,354500,347500,352500,363375,377625,391750,392500,383750,372750,371500,372500,373500,373000,374500,380000,385500,400500,412500,412500,403000,390000,384500,382500,380000,380000,375500,375500,384500,402000,417500,417500,408250,400250,399500,401000,404500,403500,402125,409625,417500,422500,427500,437500,447500,455000,462500,462500,462500,465000,465427,472927,482500,497500,514500,520050,518050,510000,505000,503000,505500,507500,510000,517500,527500,547000,561000,561500,551500,536125,522125,510000,510000,507500,502281,522281,545000,562320,579320,592000,590000
753899,2,Los Angeles,msa,CA,460000,452500,440000,427500,410000,389950,375950,361000,345000,330000,320000,322500,323000,325500,340000,350000,350000,355000,359000,359000,360000,355000,349000,354000,358000,363000,367500,366000,363500,363500,359500,351251,354000.5,346250,340000,347500,350000,350000,350000,351500,349000,342500,335000,330000,330000,322500,318501,328500.5,340500,348000,355000,360750,363250,370000,372500,374500,384500,380000,377500,400000,425000,440000,453000,460500,459375,458875,455750,451250,456000,453500,452500,465500,475500,490000,497250,497250,501500,496500,490000,490000,486750,484250,491500,501500,510000,517500,525000,527500,525000,522000,514500,515000,524000,521500,519000,527750,540750,554500,560000,557500,558500,556000,552500,553000,550250,549750,550000,560000,575000,587500,597500,602500,602500,600500,598000,600954.5,598454.5,590000,602500,617500,622500,632500,642500,642500,640000,632500,625000,625000,614250,601750,605000,620000,635000,639000,644000,652000,647000,641750,641750,640000,645000,650000,650000,660000,662500,652500,662500,690000,712500,725000,730000,729500,727000,722500,732500,760000,787000,809500,821000,821000,820000,820000,822500,825000,832500,837500,845000,870000,895000,907500,905000,885000,862500,852500,846000,833500,813125,803125,815000,834250,846750,852500,870000,890000,893750,891250
394463,3,Chicago,msa,IL,229000,231500,238250,242250,240500,229000,219500,210816.5,201316.5,192500,185000,191125,194625,197000,204500,206000,202000,195250,188250,183750,181250,181875,179375,181000,188500,192500,200000,202500,200000,189150,180150,180868.5,174868.5,167500,162450,159950,164000,171500,178750,183750,182500,171250,158484,152234,149339,144339,140000,147500,159500,168750,179250,180000,171000,161000,151500,149000,148737.5,143762.5,137525,143500,158500,170100,185100,195000,191750,183750,177000,172500,172500,169375,161825,166450,179000,192500,207500,211000,208500,201640.5,189140,182500,180000,177500,172500,181250,196564.5,206564.5,218750,222500,215000,205500,196975,190975,189000,185500,178687.5,186187.5,207000,218500,223500,226000,222450,211950,204500,202500,200000,198000,195500,205000,221500,229000,235000,237500,230000,221500,216500,215000,214500,214500,217500,226250,236250,240750,248750,248750,235750,225000,218959.5,218959.5,217500,215000,216500,225500,236500,242500,248250,248250,242500,234000,226500,225000,225000,222500,220750,234750,252500,251500,248000,257000,264500,262500,260000,257500,253250,249250,246000,257000,272000,282500,291000,288500,283750,276250,270000,267500,265000,262500,263500,271000,287500,302500,307500,301000,288500,280500,273000,270000,265000,260000,261500,274000,290500,302000,315250,318750,312500,305000
394514,4,Dallas,msa,TX,146000,148114,153614,155500,152500,145700,140650,137450,135000,132050,134050,138500,139000,146250,154700,155700,152250,147500,143000,140500,140000,135325,137325,145250,148000,149993,152243,154500,155000,149500,142000,140750,144250,142603.5,139053.5,139900,141950,146500,150750,152000,152000,148775,143275,140437.5,142187.5,141250,140000,147250,153500,158950,163950,164500,162000,159500,156950,154950,156318,152318,151000,160000,170000,177500,182375.5,183909,181283.5,176750,172650,170125,171237.5,167762.5,167250,175425,180174.5,185475.5,192225.5,194725,191925,187400,183491,183540.5,187450,186450,185250,193249.5,201499.5,209500,218000,215562.5,210062.5,204950,201700,201750,202500,200000,200000,210000,217500,225214,233464,232250,228000,226298.5,223798.5,224000,226039,225289,227750,235353,240853,246500,250000,247500,245916.5,242513.5,237395,236991.5,239693.5,237534,239534,250033.5,254434.5,258604.5,263704,261787,254787.5,248470.5,244470.5,243250,245250,241000,239532.5,249482,256950,264500,271000,268500,264535,261535,258825,256825,258160,256660,256000,264950,274325,273875,274804.5,284810.5,287956,286950,289750,290874,289623.5,285500,292170,307520,316950,332100,346000,348751,346251,342500,342500,345000,347500,347500,352675.5,365175.5,385000,405000,407303.5,402253.5,395270,385320,379500,373122,363372,355750,358500,367730,376102.5,385872.5,393500,394662.5,390320.5,384158
394692,5,Houston,msa,TX,146965.5,148715.5,153656.5,156156.5,154750,153250,143250,132250,131000,129000,129444,136444,142500,148500,156000,158750,157500,154700,146950,143450,144400,141400,141700,146934.5,148685,148026.5,150494,153467.5,152950,150450,146000,144325,149075,142750,140500,144500,143250,148875,154475,154600,152800,150050,146026.5,144276.5,146750,141000,134900,144665,152215,156450,162500,164530.5,161980.5,157450,154000,154000,155000,148750,147500,157250,168500,175975,180975,182500,179500,176000,170750,170250,173500,171000,170250,185250,201000,208899.5,212649.5,204250,193500,188000,182500,181000,187000,186395.5,182895.5,190000,195330.5,201760.5,210693,209763,206550,198550,189950,187950,190500,191500,186500,188650.5,196150.5,203951.5,211451.5,214307.5,211757.5,206950,203000,202250,205500,201750,198250,207500,213650,217900,223500,221500,219000,218000,213000,209789.5,210789.5,207150,207150,216000,223500,228500,230000,230000,227139.5,221889.5,217250,215595,218095,215567.5,214067.5,221200,227616,234166,239249.5,237499.5,234000,229380.5,225380.5,225000,230000,227500,224000,231500,236500,236770.5,242720.5,254900,257450,255000,255439.5,257939.5,262350,258535.5,258685.5,275000,289250,295750,299000,299999.5,297499.5,290682,288182,293520,298520,295000,299000,306805.5,314805.5,329500,335150,332650,323670.5,316170.5,308750,302811.5,301561.5,295175,295175,304875,312375,320000,327500,327500,323500,318500
395209,6,Washington,msa,VA,332500,337000,339450,335950,323500,300000,284500,275975,270225,266500,260250,261500,267750,278750,292500,301000,301000,290000,277500,275000,274500,267000,261500,264000,277500,290000,289750,304750,299000,281500,287500,293535.5,293535.5,278750,266250,265000,275000,297500,312500,316500,314000,296000,279987.5,279112.5,277625,272500,268000,282950,305475,323025,341000,341000,330000,318250,311250,313000,312500,302500,297450,312450,336750,356750,370000,371500,362200,343200,330000,332750,332750,325000,322500,330000,345000,365000,375000,371250,362250,346000,340000,345000,345400,354400,349000,340500,353750,370500,378750,371500,360000,350000,341250,338750,337500,333902,331402.5,334950,349950,367000,377000,376250,368250,356950,349450,347000,347000,347000,341500,344000,362500,380000,387500,388000,379500,364000,357500,362500,367500,364500,361000,371500,387950,397950,404250,403750,394500,380000,371000,373450,377450,370000,365000,377500,395000,407500,412500,411500,404000,390500,385500,390000,392500,385500,384000,407000,426000,427500,427450,439950,447500,440000,435000,432500,427500,417500,410000,426875,454375,472500,482925,480425,470000,457450,454950,455000,450000,440000,437500,462500,497500,520000,520000,507450,494450,477000,470000,470000,455000,442500,455000,474950,499950,525500,533000,530000,521500,504000
394974,7,Philadelphia,msa,PA,200672,207450,216500,222450,224450,216000,203950,194950,187850,185350,183750,185000,189250,195500,207500,213625,211125,204950,197450,195000,192500,187500,186000,188450,194950,200000,209000,215600,209925,203013,194688,193000,195500,191500,184000,179500,182500,190450,202450,207500,206250,197375,185625,182000,180000,180000,173000,170500,180000,191675,205425,210125,206375,197500,188850,189850,188625,182575,174950,177325,184825,192500,211500,221250,217250,207450,194950,187500,187500,184375,175375,176000,182150,192150,209850,217350,213000,204000,192250,189500,190069,191818.5,180000,175000,187500,198500,212250,216250,212500,206000,197000,189000,184750,183750,181500,180000,188000,200000,215000,222450,214950,207500,199350,194100,196897,188947,179300,185000,195000,206000,219897,226897,220612.5,210112.5,201950,200825,203875,197500,189950,197450,206500,214475,227975,232500,229950,223947.5,212135,210387.5,212200,202450,197500,205000,215000,225000,240000,246175,242175,233500,223500,226000,227500,222500,218499.5,225999.5,242500,244500,244500,257950,267950,267000,261500,260000,259450,253950,246500,247500,256500,268000,285000,297000,299500,290000,279500,279500,275000,267500,260000,261500,279000,297500,315000,320000,315525,308025,297350,294850,292450,282450,275000,282500,292500,305000,325500,338000,337500,325000
394856,8,Miami,msa,FL,240000,237500,237500,235000,225000,210000,199000,189000,180000,167500,155687.5,153187.5,145750,143250,150000,155000,155000,152500,147500,147500,149000,143500,137000,139750,142250,142500,145500,141000,135500,134000,132500,133500,132500,120000,115000,119250,121750,130000,135000,137500,135000,125000,122500,126000,127875,128375,126500,127500,135500,141500,146000,149125,146625,146750,146750,147500,155000,156250,151250,152500,160000,168775,176225,180950,181000,180500,178000,180000,183500,178500,172500,175000,181250,188750,198750,202750,196500,195000,195000,194867,199867,195000,192500,197500,205000,217500,222500,219500,219000,216000,211500,210000,212500,212450,212450,217450,222450,228000,234000,236000,235000,235000,232500,230000,232000,232000,230000,232500,239000,246500,255000,255000,252000,252000,246000,246000,251625,251575,249950,255000,258750,260575,266825,265000,260000,259500,259500,260000,260000,,254000,263500,269500,270000,275000,280000,277500,273500,273500,275000,275000,275000,275950,,292500,296000,298000,305500,314500,313500,310000,312500,317500,320000,320000,322500,330000,337500,345000,350000,349000,345000,346000,355000,360500,363000,370000,380000,385750,398250,410000,405000,400000,402500,402500,400000,395000,395000,402500,412500,422978,430478,442500,444975,439975,444500
394347,9,Atlanta,msa,GA,156100,157600,160000,158500,154000,146750,140250,130000,124000,123350,120350,121150,122025,124375,130975,137475,137500,133500,133475,134925,129900,123450,120950,120950,126000,132450,130700,126750,123450,118847,116397,115000,114668,111168,104000,103500,107500,107750,109750,109750,105250,98750,93250,93500,94250,90500,86250,93500,103500,108550,113550,115000,115000,113500,109952.5,107952.5,116000,114500,112250,125750,137500,146475,154975,160000,155000,145375,141875,141000,139500,138500,138000,144500,153750,162962.5,170462.5,173750,171500,163500,158000,157275,161275,158000,155000,163750,185750,196000,188500,186500,181250,175387.5,172637.5,171600,173100,170000,165849,172848.5,182000,189500,193000,195950,192450,182500,180000,180000,180000,177500,177000,184500,195000,204950,209950,209500,204450,198200,195750,194500,197000,197500,198000,205500,215000,222500,227450,226882,214932,212350,216350,212000,211000,211000,209091.5,215091.5,224000,232500,239500,239950,233980.5,228980.5,227150,225450,228250,225500,225500,239000,251000,249500,249500,259500,263750,263250,264500,264000,262750,263250,264500,271000,285500,297500,311000,319200,313301.5,312101.5,320000,323975,328975,325550,324050,336000,347390,359790,364900,360975,352975,344500,337000,334350,332350,325000,327500,342500,351025,356025,365250,374250,374000,365000
394404,10,Boston,msa,MA,317000,327000,342250,344700,337450,317500,299500,294500,290000,282500,272125,267125,276500,292500,308450,322250,324750,312450,292750,285250,292475,299475,289500,287500,299250,306750,327000,342000,340000,325000,305000,307500,305000,293250,283250,282500,295000,309725,332225,344975,337475,322500,299500,292000,295000,287500,277450,281200,298750,312582.5,338082.5,349250,336250,319562.5,303312.5,306250,312000,301000,292250,300250,317000,332500,354000,365000,361000,347912.5,332862.5,329900,330950,336000,326750,321250,332000,347000,371550,380300,373250,357450,341900,341950,347500,350000,339500,334000,344600,362600,382500,392000,392000,372500,352500,357500,362500,359500,344500,339500,359500,377500,397450,408450,402000,386000,370500,375500,380000,377000,369450,369450,384450,399950,420000,428750,422750,407500,396000,403375,409875,404000,393500,393750,417700,438400,453450,462500,455000,432500,415500,421000,418000,415000,415000,415750,425750,445000,470000,477500,470000,450000,435883.5,438383,445000,447500,440000,452500,478450,483400,488700,502500,513750,515000,505000,499500,499500,497500,497500,507500,531250,560250,586500,593500,583500,565000,549986.5,555486,558000,547500,542225,562225,597500,623766.5,651266.5,657500,635000,612500,592500,585000,572500,555000,545000,564500,604500,628625,656125,677500,667500,637500
394976,11,Phoenix,msa,AZ,217500,212500,205950,195950,188500,179450,169950,161500,154000,142500,127750,122500,120750,120000,125000,130000,130000,130500,130500,132500,135000,130000,128000,130500,130340,132340,131500,127475,122975,121380,123380,120450,115450,113500,112750,112250,112750,111750,111500,112500,111000,112000,113750,114750,118000,120000,121500,126500,134250,143750,149500,149500,150750,151250,155000,160000,162500,161000,159500,165250,170700,176400,181450,184000,182500,182491.5,186492,186166.5,186166.5,184500,181500,184500,188000,189500,188500,190325,193993,192168,191000,191500,193000,195000,195000,197500,200500,208000,215000,212500,209000,209000,212500,212750,215250,215000,211250,214450,220545,224845,226300,226300,227450,228450,226112.5,225425,227112.5,226800,226000,228500,231250,235500,239250,239950,239575,238625,240000,241000,242500,246025,248525,250300,252800,256750,261750,265000,262450,258200,257000,258000,258000,258750,260000,263000,267000,271500,276000,276250,275250,275000,277500,278250,279750,286000,291000,296500,299750,297250,300000,310000,317500,321500,324000,327000,329500,335000,345000,354500,364450,377450,388500,396000,400000,405000,410500,417375,424375,427500,435725,448225,460000,468900,473900,465000,448500,438500,435500,428000,417450,414950,413000,418000,426250,431250,440000,440000,435000,433500
395057,12,San Francisco,msa,CA,515000,505250,487750,467000,439500,388750,356250,339750,314250,284500,273000,275500,286000,308500,335000,355000,360000,361500,369000,378000,380500,357500,338000,358000,372500,392500,413500,413500,405000,387500,380875,373375,365000,344500,325250,337000,349750,363000,374500,369500,362000,355000,345000,345000,340000,315000,309500,334500,365000,395500,419000,423500,415000,412500,418500,431000,443000,414250,398750,445000,512500,560000,579000,584000,565000,545500,545500,548750,536250,517500,519000,554000,600000,619500,624250,627250,622500,610000,606500,609000,587500,555000,565000,614500,654500,673625,673625,665000,659000,643500,629500,645000,655000,625000,610000,634000,666750,702750,725000,720000,688500,654500,659750,688250,680000,645500,645750,693250,750000,767500,762500,757500,742500,723500,763500,820000,802500,755000,765000,830000,870000,899000,919000,902500,870000,850500,860500,865000,827500,782450,795450,848000,888500,911000,912500,892500,857500,841000,853500,867500,855000,812500,796875,821875,850000,872500,902500,937500,940000,927500,922500,930000,922500,882500,892500,961500,1049000,1100000,1100000,1090000,1065000,1050000,1052500,1062500,1027500,992000,1035000,1115500,1205000,1255000,1230000,1162500,1087500,1060000,1085000,1077500,1002500,925000,914000,996500,1072500,1090000,1120000,1120000,1087500,1087500
395025,13,Riverside,msa,CA,277500,267500,257500,249075,235075.5,222250,213750,205000,195000,185000,177500,171500,164000,160000,160000,161750,162250,163000,165000,170000,175000,175000,174000,174500,175500,178500,181000,179000,177250,175750,175000,173000,173000,173000,171500,172750,171750,171125,172625,171500,170000,170000,169005,169005,169000,167000,167500,173000,176750,178250,179750,182250,182450,182450,187500,195000,202500,202500,201250,208750,217500,225000,230000,233750,238750,240000,243750,245500,249250,250000,245000,251500,256750,261750,266500,265000,262500,260000,262500,267000,267500,263000,265000,274000,278000,279000,282500,286250,286250,283750,281250,284000,289000,287500,285000,292000,299500,300250,302725,305975,305625,306250,304125,304500,309500,305000,305000,315000,322500,322500,326500,331500,327500,327500,330000,327500,327500,332500,338500,341000,345000,350000,350000,351000,348500,347500,347500,345500,344000,343500,347500,351500,355000,361000,362500,362500,363250,364750,368500,367000,365000,365000,368250,375250,376000,375250,383250,396375,406875,415000,420000,422500,427500,428000,433000,447500,460000,470000,482500,493500,496000,497500,500000,502500,512500,517500,520500,533000,545500,553000,554625,545625,533500,528000,521750,503750,495000,497500,502500,510250,516625,526375,530000,527500,527500,527500
394532,14,Detroit,msa,MI,104500,103500,104250,107250,106500,102450,93200,83250,79250,74200,68950,66500,62750,62750,67500,73500,75250,74250,77500,80500,80500,77000,71000,72000,77950,79950,80000,78062.5,76562.5,74550,72000,71950,72450,70331.5,65331.5,63950,65750,68250,71500,74500,79000,80999.5,77500,75000,72750,68750,66000,70000,74950,77450,82500,87000,90069.5,88694.5,86259,85634,86000,85500,83000,86000,95000,104500,112000,120000,125000,121500,116500,115000,115000,108500,101000,106000,115950,123450,131500,138000,140000,137000,129500,126125,126125,121500,117500,120250,128750,139450,145950,150457,151907,146950,140000,135500,134950,132450,128000,132250,141750,150000,158500,159750,157500,155750,154500,152500,147500,141500,136500,139900,151400,159500,164500,167950,165450,163000,162500,158500,155925,151925,148500,154750,162250,170000,175000,176500,175725,168225,163750,162250,158950,153450,152000,157500,162500,172500,180000,180750,182250,181500,176000,171000,170000,166250,161250,170000,185500,180500,184250,204250,205000,203000,202000,197500,194000,184900,177400,180500,195000,211500,219000,221500,220500,220000,218500,212500,209000,200250,196250,202500,212500,228000,240500,242500,236500,229000,223500,218500,210000,195500,197500,209500,215000,235000,252500,255000,252656.5,249656.5
395078,15,Seattle,msa,WA,330100,330240,330847,330707,326475,316475,312500,307500,299862.5,298800,292937.5,286000,287000,290000,294975,296225,291250,290875,288375,282500,283500,282250,278750,282640,285140,292500,299500,304125,302125,285000,275000,276250,288250,274500,255000,257500,259000,261500,258750,259991.5,255631.5,244890,238000,238500,241140,227140,221975,229975,245140,265115,272475,275000,270000,270140,270280,270140,275000,259115,254115,270000,282000,295140,301718,306828,309500,308750,302500,293000,289000,280000,281084.5,289584.5,294975,303475,314995,322745,318750,312259.5,307259.5,305625,305375,299737.5,296792.5,311780,328225,336750,346500,344500,343859.5,344109.5,339609.5,335264.5,334880,329834.5,322359.5,332475,348225,363250,372500,377334.5,377309.5,367475,362719,370219,372475,359475,349500,360000,384859.5,404859.5,419500,426000,419000,415859.5,410859.5,412475,414975,402359.5,407359.5,433500,453500,455937.5,456797,457664.5,445664.5,436219,429859.5,424859.5,422359.5,416250,423750,443500,457500,471500,475625,468125,465500,459700,454200,457500,462500,457450,460200,482750,497500,495000,507500,527500,531500,541775,544025,538750,529987.5,524487.5,537000,567500,601000,626000,642500,642500,633000,620500,620000,622500,622500,612500,627500,678000,716000,730500,715000,687500,670000,660000,655000,640000,612500,600000,600000,617500,642500,665000,685000,685500,678000,672000
394865,16,Minneapolis,msa,MN,213000,212500,210950,209950,208000,201000,195500,193000,185500,177475,174975,175000,175000,177625,181750,183925,182300,179950,177450,173500,170400,166400,165000,170400,175650,175750,178700,181200,180000,176000,172000,167375.5,162950.5,158275,153700,151950,153450,158025,160525,161525,159525,156500,152500,149950,145950,142000,143500,147450,154950,162000,168500,171500,170000,167500,166500,165500,161450,157450,155500,163000,173000,180500,190250,197200,197450,191250,183457,181157,182200,177500,177063.5,183263.5,188268,196272.5,202954.5,205000,207500,202500,193891.5,192391.5,192000,190950,192450,200500,210500,215679,218679,219450,216450,213500,209000,206000,208000,209000,208000,213950,219900,222450,228500,231000,229500,225750,221250,220000,217500,214650,213400,218750,228825,236325,243250,243750,241500,239485,234485,233450,234450,232000,233500,241050,248800,254750,257500,255992.5,254492.5,252000,249500,249000,245000,243362,247362,257000,264000,267000,273750,275000,273750,270000,264500,266000,266500,262450,262450,272500,283563,285063,286800,295250,302400,301950,299500,299500,294500,288500,288500,297500,312500,322500,330000,333000,333000,331250,326250,322500,317130.5,312906.5,313275.5,322500,340000,354250,359250,357250,352250,345000,338000,333000,322500,319500,322000,324625,335525,345900,358500,363500,362500,358150
395056,17,San Diego,msa,CA,394500,387750,374250,366000,350000,332500,320000,307500,297500,287500,282500,283000,285500,292500,301500,311500,315500,320500,322500,320000,322500,317250,316750,332000,339500,337000,334250,336250,337000,342500,340750,330750,334500,319500,302500,313250,323250,323500,323500,325000,322500,315000,310000,308500,308500,307500,304500,312000,326000,333500,335000,339500,342000,345000,349500,352000,358250,355750,350000,365000,390000,405000,412500,416000,413500,414000,412750,408750,410500,408000,407500,417250,427250,433500,439500,444625,444375,441750,440250,431750,427500,435000,438750,446250,457000,459750,468750,474000,468000,460500,455500,462000,464500,465000,461500,465500,484000,490000,492500,495000,497000,494500,497500,497000,492000,495000,497000,507000,517500,526000,538500,542000,539500,535000,530000,537500,542500,535000,534500,544500,560000,567500,569500,573500,571500,569750,561888.5,550888.5,546250,547500,552000,557000,567500,572000,579000,582000,575000,570000,567500,577500,574125,571625,582000,584500,587500,585000,592500,617500,632750,640250,645000,645000,643000,643000,660000,687500,707500,727500,745875,745375,732000,732500,745000,755000,760000,760000,772750,805250,837500,852500,841500,816500,799750,792000,784750,770000,757500,757500,770000,792500,817000,834500,847500,860000,872500,867500
395148,18,Tampa,msa,FL,164300,162800,165000,162000,156000,150250,143750,137500,135000,126500,119000,123175,124675,124500,127750,129750,127500,125000,123500,123500,122500,117500,115500,115000,116250,119250,121500,116500,112500,115000,116000,111000,107500,99950,89900,92450,97000,99500,104850,107800,105450,103800,98800,95000,100000,100000,96000,99000,103500,108000,111250,113100,113850,114500,112500,113750,118750,115000,110149.5,116649,123000,126500,130500,134000,135412.5,130912.5,126500,125500,128125,122625,117500,122775,126775,133500,139450,141075,141125,138750,138250,136250,138000,135250,130000,136950,143450,147500,152320,153820,151500,150000,150000,149000,151500,151950,149450,152500,159250,166036,172294.5,173848,172839.5,172000,170000,170000,172500,170000,167450,172500,177175,182575,189450,192000,189700,186950,185200,187450,191000,185950,184950,192500,196500,200000,206000,208000,203750,203200,202450,200000,203500,200250,196750,202496,207496,212500,219000,223200,220200,217000,217500,216500,219450,219450,218500,224000,230450,234950,237500,244000,249000,251750,251750,251000,252690.5,252190.5,253000,257500,264000,276500,290000,295000,297500,299550,299800,305250,317500,322500,325000,335000,345000,355375,365375,367750,360750,352950,349950,345000,340000,335650,337650,347000,352000,357000,364500,369225,369725,361850
394530,19,Denver,msa,CO,194950,196950,202500,203000,197500,192500,185957,177207,171250,161025,160975,176576,186126,192000,201500,206850,204850,200500,198500,196950,193450,191450,194325,201875,205000,207500,210500,215500,217500,210726,208151,205675,200250,192000,191000,197250,197250,201532,209032,210695,207295,202600,198000,198750,199250,196000,194000,200825,216825,229250,236750,239500,236900,233400,231000,230000,225500,221125,225757,236381.5,246250,252500,256500,259000,255000,249500,247000,245000,245000,241000,240000,249000,257875,264875,271500,271500,267000,262500,260250,264000,268750,270000,274500,284500,294250,301750,307500,305000,300000,297500,297500,300000,301250,304350,308100,319662.5,329662.5,335000,344848,344848,337500,333500,333500,335000,336000,335725,339725,349375,358375,365750,372750,372625,366125,362000,362500,362500,364750,368750,376631,387631.5,395000,402500,405000,402500,397500,390000,387450,387450,385000,382500,382500,391274,401274,410000,415000,415000,411150,403650,402500,406500,401500,398000,407921.5,422921.5,429087.5,426087.5,430000,442500,449500,449500,455000,455050,449550,445875,453875,480000,507500,525000,535000,538500,534750,530000,528750,531250,536750,540000,550750,581250,607500,614500,608500,599000,585000,575875,570875,557500,540000,527500,537500,555000,565000,579000,587000,582500,574500,565000
394358,20,Baltimore,msa,MD,236537.5,238500,242500,251000,251500,241950,231450,224000,221500,217500,216500,219000,221500,226000,234450,239950,238975,231475,225000,224000,224000,214500,210500,216000,216500,219500,228000,232500,227500,220750,218250,219500,214500,215700,222200,215000,212475,218475,227000,230000,227500,222500,215000,221000,223200,210950,206250,210000,225000,240000,240000,245000,241625,231625,230000,227500,227500,222500,207500,207500,223000,235500,245000,255000,252700,247401.5,244701.5,237500,235250,222750,220000,232750,238750,248450,260450,261750,253750,247500,242500,238500,238500,230000,224250,232750,234625,241125,255000,260000,253750,241350,235100,233625,236125,227500,220000,230000,240000,251500,262125,268125,263625,253625,249750,242250,235000,229950,221950,225750,238750,252500,260500,265000,260500,250000,248950,249950,249950,244950,240000,246500,259000,266000,271000,275000,275000,270000,257500,252500,252500,242500,237450,247450,260500,273000,285000,290000,284125,279125,273350,264850,266000,260875,253875,267000,287500,290750,292250,304000,312000,307500,301500,301500,292450,281950,279500,280000,285000,303750,318750,320000,320000,316000,313500,308750,301250,297500,295000,300000,315000,333750,343750,342500,338750,333750,322500,312450,307450,300000,297500,305500,320500,340000,352500,358000,355500,354500
